[2024-12-12T17:44:29.051439+09:00] front.WARNING [b70d0639] [4d5aa8d] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:46:08.607692+09:00] front.INFO [b70d0639] [e5f88bf] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:46:08.655712+09:00] front.WARNING [b70d0639] [e5f88bf] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:46:36.778956+09:00] front.INFO [b70d0639] [dd0298d] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:46:36.799905+09:00] front.WARNING [b70d0639] [dd0298d] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:48:30.144711+09:00] front.INFO [b70d0639] [789449d] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:48:30.178667+09:00] front.WARNING [b70d0639] [789449d] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:48:57.587909+09:00] front.INFO [b70d0639] [56c4b0a] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:48:57.627164+09:00] front.WARNING [b70d0639] [56c4b0a] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:52:35.064189+09:00] front.INFO [b70d0639] [2742e3a] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
